event id,guest name,event type,event date,event cost,event state
1,Mick Crebagga,Sport,2023-12-19,68,Massachusetts
2,Mick Crebagga,Meal,2023-08-23,146,South Dakota
3,Mick Crebagga,Meal,2024-04-03,60,New Jersey
4,Mick Crebagga,Party,2023-01-07,86,Oregon
5,Greg Matthias,Meal,2023-04-28,158,Kentucky
6,Greg Matthias,Sport,2023-10-24,153,North Carolina
7,Greg Matthias,Sport,2023-01-24,123,Louisiana
8,Greg Matthias,Concert,2024-10-09,114,New Jersey
9,Greg Matthias,Sport,2024-05-10,73,Colorado
10,Ryan Akin,Concert,2023-09-02,169,Indiana
11,Ryan Akin,Concert,2023-12-28,110,Wyoming
12,Ryan Akin,Sport,2023-10-30,154,Ohio
13,Ryan Akin,Concert,2023-02-15,175,Arkansas
14,Ryan Akin,Concert,2024-08-14,79,North Dakota
15,Toby Swindell,Meal,2024-04-01,165,New York
16,Toby Swindell,Sport,2024-11-16,123,New Hampshire
17,Robert Dilbeck,Meal,2024-09-27,68,Kentucky
18,Robert Dilbeck,Meal,2024-02-23,130,New Hampshire
19,Robert Dilbeck,Sport,2024-10-24,160,Michigan
20,Anna Gayman,Sport,2023-09-26,177,Wisconsin
21,Becky Martin,Meal,2024-04-10,112,Vermont
22,Thomas Seio,Party,2023-02-18,70,Indiana
23,Thomas Seio,Sport,2024-08-09,108,Michigan
24,Thomas Seio,Concert,2024-09-15,84,Maryland
25,Thomas Seio,Sport,2024-06-10,167,Ohio
26,Thomas Seio,Party,2024-08-28,137,Louisiana
27,Jennifer Ferguson,Sport,2024-08-09,198,Minnesota
28,Jennifer Ferguson,Sport,2023-06-19,113,Wyoming
29,Jennifer Ferguson,Meal,2023-10-09,171,Ohio
30,Jennifer Ferguson,Meal,2024-04-17,170,Ohio
31,Jennifer Ferguson,Sport,2024-10-13,62,Montana
32,Tracy Hopkins,Meal,2023-01-01,118,Colorado
33,Tracy Hopkins,Sport,2023-07-26,80,Nebraska
34,Tracy Hopkins,Meal,2023-04-09,153,Colorado
35,Thomas Boland,Sport,2023-06-25,78,Hawaii
36,Gary Hansen,Sport,2024-04-12,98,Alabama
37,Gary Hansen,Meal,2024-03-06,103,Iowa
38,Gary Hansen,Party,2023-03-18,65,Iowa
39,Cyra Reiten,Party,2023-06-11,142,Iowa
40,Cyra Reiten,Concert,2023-04-08,81,Arkansas
41,Cyra Reiten,Party,2024-08-29,100,New Jersey
42,Cyra Reiten,Sport,2024-02-21,138,Michigan
43,Cyra Reiten,Sport,2023-12-31,198,Montana
44,Frank Merwin,Sport,2023-11-14,51,South Dakota
45,Frank Merwin,Meal,2024-05-15,149,Alaska
46,Nancy Lomonaco,Concert,2024-11-15,160,Alaska
47,Nancy Lomonaco,Meal,2023-03-06,53,South Carolina
48,Nancy Lomonaco,Sport,2024-09-10,121,Colorado
49,Nancy Lomonaco,Concert,2023-02-02,126,Arizona
50,Nancy Lomonaco,Concert,2023-01-27,180,Massachusetts
51,Gary Zandusky,Concert,2023-02-15,123,Nebraska
52,Gary Zandusky,Sport,2023-01-27,172,Kansas
53,Gary Zandusky,Meal,2024-05-25,156,Oregon
54,Gary Zandusky,Meal,2024-10-29,78,Florida
55,Gary Zandusky,Sport,2023-07-12,105,Kentucky
56,Katherine Nockton,Sport,2023-06-18,172,Virginia
57,Christina DeMoss,Sport,2023-07-06,152,Wyoming
58,Christina DeMoss,Meal,2023-05-25,131,Montana
59,Christina DeMoss,Meal,2024-06-29,137,Massachusetts
60,Joni Blumstein,Meal,2023-02-11,83,Wyoming
61,Joni Blumstein,Sport,2023-02-09,94,Texas
62,Joni Blumstein,Concert,2024-01-24,74,Ohio
63,Joni Blumstein,Sport,2024-05-21,100,Alaska
64,Ben Peterman,Sport,2024-01-10,93,Nevada
65,Ben Peterman,Meal,2023-12-03,142,Rhode Island
66,Ben Peterman,Sport,2024-06-14,150,Virginia
67,Bryan Spruell,Party,2023-09-01,86,Vermont
68,Elizabeth Moffitt,Concert,2024-10-24,59,Colorado
69,Elizabeth Moffitt,Meal,2024-02-17,166,New Hampshire
70,Elizabeth Moffitt,Sport,2023-05-22,182,New York
71,Sarah Bern,Sport,2024-08-22,57,New Jersey
72,Sarah Bern,Party,2023-03-24,188,Colorado
73,Sarah Bern,Meal,2024-08-12,111,Oregon
74,Sarah Bern,Meal,2023-09-19,199,Mississippi
75,Sarah Bern,Party,2024-11-01,136,Oregon
76,Raymond Buch,Meal,2024-01-30,191,Kansas
77,Raymond Buch,Party,2024-05-31,147,Ohio
78,Raymond Buch,Sport,2024-02-11,113,Hawaii
79,Alan Haines,Sport,2024-12-06,186,Idaho
80,Alan Haines,Sport,2023-08-06,96,Colorado
81,Alan Haines,Party,2024-12-21,129,Missouri
82,Alan Haines,Meal,2024-04-16,198,Wyoming
83,Philisse Overcash,Sport,2024-11-18,61,Delaware
84,Philisse Overcash,Sport,2024-07-15,135,North Carolina
85,Philisse Overcash,Concert,2024-03-16,128,Indiana
86,Philisse Overcash,Sport,2023-04-23,153,Hawaii
87,Thomas Thornton,Sport,2024-09-01,128,Vermont
88,Thomas Thornton,Sport,2024-02-19,118,New Hampshire
89,Thomas Thornton,Concert,2023-04-19,193,Washington
90,Thomas Thornton,Meal,2024-10-18,199,Nevada
91,Mike Gockenbach,Sport,2023-10-12,182,Kansas
92,Maria Etezadi,Meal,2023-01-11,161,Minnesota
93,Emily Ducich,Sport,2023-11-14,103,Alaska
94,Emily Ducich,Sport,2024-09-18,51,New York
95,Suzanne McNair,Party,2023-09-14,54,Vermont
96,Suzanne McNair,Meal,2024-07-23,90,Washington
97,Brad Norvell,Sport,2024-04-18,68,Oklahoma
98,Brad Norvell,Sport,2023-06-17,154,Georgia
99,Brad Norvell,Meal,2023-06-21,181,New York
100,Brad Norvell,Sport,2024-07-10,131,Michigan
101,Brad Norvell,Sport,2023-11-25,61,Louisiana
102,Tamara Dahlen,Sport,2024-09-11,90,Massachusetts
103,Tamara Dahlen,Meal,2024-11-02,131,California
104,Sara Luxemburg,Meal,2024-07-02,189,Arkansas
105,Charlotte Melton,Sport,2024-09-07,131,Virginia
106,Corinna Mitchell,Concert,2023-11-11,144,Indiana
107,Corinna Mitchell,Meal,2023-10-18,112,North Carolina
108,Jeremy Ellison,Sport,2024-12-08,72,Virginia
109,Jeremy Ellison,Concert,2023-11-01,85,Vermont
110,Jeremy Ellison,Meal,2023-05-08,156,California
111,Jeremy Ellison,Concert,2024-12-11,64,Arizona
112,Lena Cacioppo,Sport,2024-07-27,145,Arkansas
113,Lena Cacioppo,Concert,2024-10-15,199,Maryland
114,Laura Armstrong,Sport,2024-11-17,77,Arizona
115,Laura Armstrong,Concert,2023-10-31,76,Wisconsin
116,Sample Company A,Concert,2024-06-16,142,Utah
117,Sample Company A,Sport,2024-02-18,50,Mississippi
118,Sample Company A,Sport,2023-06-02,172,Illinois
119,Khloe Miller,Meal,2023-11-05,149,Wyoming
